image_label,image_path
Bacterial infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Bactreial infection\Bacterial infection1.jpg
Bacterial infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Bactreial infection\Bacterial infection2.jpg
Bacterial infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Bactreial infection\Bacterial infection3.jpg
Bacterial infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Bactreial infection\Bacterial infection4.jpg
Bacterial infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Bactreial infection\Bacterial Infection5.jpg
Bacterial infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Bactreial infection\Bacterial infection6.jpg
Bacterial infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Bactreial infection\Bacterial infection7.jpg
Contact allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\contact allergies\allergies1.jpg
Contact allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\contact allergies\allergies2.jpg
Contact allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\contact allergies\allergies3.jpg
Contact allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\contact allergies\allergies4.jpg
Contact allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\contact allergies\allergies5.jpg
Contact allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\contact allergies\allergies6.jpg
Contact allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\contact allergies\allergies7.jpg
Folliculitus,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Folliculitus\folliculitus1.jpg
Folliculitus,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Folliculitus\folliculitus2.jpg
Folliculitus,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Folliculitus\folliculitus3.jpg
Folliculitus,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Folliculitus\folliculitus4.jpg
Folliculitus,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Folliculitus\folliculitus5.jpg
Folliculitus,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Folliculitus\folliculitus6.jjpg
Folliculitus,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Folliculitus\folliculitus7.jpg
Fungal infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Fungal infection\fungal infection1.jpg
Fungal infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Fungal infection\fungal infection2.jpg
Fungal infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Fungal infection\fungal infection3.jpg
Fungal infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Fungal infection\fungal infection4.jpg
Fungal infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Fungal infection\fungal infection5.jpg
Fungal infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Fungal infection\fungal infection6.jpg
Fungal infection,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Fungal infection\fungal infection7.jpg
Impetigo,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Impetigo\impetigo1.jpg
Impetigo,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Impetigo\impetigo2.jpg
Impetigo,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Impetigo\impetigo3.jpg
Impetigo,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Impetigo\impetigo4.jpg
Impetigo,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Impetigo\impetigo5.jpg
Impetigo,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Impetigo\impetigo6.jpg
Impetigo,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Impetigo\impetigo7.jpg
Parasite allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Parasite allergies\parasite allergies1.jpg
Parasite allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Parasite allergies\parasite allergies2.jpg
Parasite allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Parasite allergies\parasite allergies3.jpg
Parasite allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Parasite allergies\parasite allergies4.jpg
Parasite allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Parasite allergies\parasite allergies5.jpg
Parasite allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Parasite allergies\parasite allergies6.jpg
Parasite allergies,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Parasite allergies\parasite allergies7.jpg
Pyoderma,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Pyoderma\pyoderma1.jpg
Pyoderma,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Pyoderma\pyoderma2.jpg
Pyoderma,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Pyoderma\pyoderma3.jpg
Pyoderma,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Pyoderma\pyoderma4.jpg
Pyoderma,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Pyoderma\pyoderma5.jpg
Pyoderma,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Pyoderma\pyoderma6.jpg
Pyoderma,C:\Users\DELL\Documents\PDI model deployment\Disease Dataset\Pyoderma\pyoderma7.jpg
